hg,z20,k20,zz20,kk20,jz,z20js,k20js,zc20js,kc20js
0.75,1.273,0.736,1.161,0.998,2.08,-0.15,-0.03,-0.47,0.185
1,1.488,0.856,1.653,0.71,1.33,0.01,-0.28,0.68,-0.267
1,1.802,1.059,1.816,0.951,0.75,0.59,-0.39,0.547,-0.58
0.5,2.02,1.838,1.906,1.499,1.7,1.23,0.81,1.21,0.077
-1.25,1.131,2.014,1.307,1.856,-1.05,-0.16,0.82,-0.253,0.524
-0.75,1.825,1.853,1.825,1.698,-1.01,0.52,0.46,0.772,0.092
1,1.757,1.396,1.962,1.448,1.53,0.62,-0.02,0.913,0.175
1.25,1.952,1.826,2.089,1.568,1.87,1.38,0.6,1.383,0.377
-1,1.394,1.859,1.393,1.973,-1,0.11,0.82,-0.061,1.354
0.5,0.917,0.778,1.595,0.696,-0.86,-0.48,-0.38,0.326,-0.302
0,0.978,1.138,1.091,1.134,-0.23,-0.86,-0.37,-0.35,-0.148
0.75,1.982,1.336,1.805,0.879,1.69,1.14,0.45,0.903,-0.485
1,1.238,1.289,1.453,0.895,1.28,0.06,0.19,0.272,-0.481
0,0.702,1.296,0.818,1.394,1.22,-0.15,-0.2,0.183,-0.446
0,1.364,1.519,1.233,1.361,-0.23,0.67,-0.05,0.659,-0.137
0,1.444,1.316,1.365,0.95,0.04,0.29,0.6,0.021,0.196
-1.5,1.369,2.166,1.259,2.005,-3,0.52,1.5,0.392,1.219
0,0.803,1.019,1.049,1.025,0.16,-0.37,-0.76,-0.033,-0.835
0,2.015,1.586,1.723,1.398,1.56,0.81,0.4,0.693,-0.162
1.75,2.073,0.838,2.535,0.892,1.78,0.7,-0.51,1.463,-0.629
-0.25,1.428,1.728,1.318,1.337,0.01,0.14,0.42,-0.219,-0.318
0.75,1.669,1.326,1.76,1.192,1.06,0.06,-0.07,0.726,-0.142
0.5,1.97,1.366,1.815,1.434,-0.23,0.75,0.25,0.548,0.321
0.75,1.135,0.688,0.919,0.918,0.51,-0.37,-0.21,-0.618,0.04
-0.75,1.29,2.107,1.187,1.529,-0.64,-0.2,1.31,-0.087,0.336
0.5,1.575,1.179,1.665,1.185,-0.18,0.02,-0.65,0.631,-0.597
-1.5,0.781,2.256,1.623,2.004,-0.93,-0.56,1.52,0.359,1.223
-1.25,1.144,1.602,1.042,1.586,-1.44,-0.3,0.63,-0.266,0.238
1.5,2.128,1.402,2.607,0.881,2.66,0.8,0.55,1.422,-0.476
0.25,1.415,1.58,1.337,1.479,-2.35,0.18,0.29,-0.12,0.211
-0.5,1.263,1.694,1.245,1.31,-0.58,-0.1,0.34,-0.281,-0.392
0.25,2.078,1.894,1.813,1.643,0.18,1.05,0.77,0.96,0.375
0.75,2.16,1.132,1.891,1.131,1.62,1.4,-0.36,0.967,-0.145
0.25,0.787,0.674,0.967,0.9,1.6,-0.38,-0.25,-0.113,-0.001
0,1.41,1.609,1.148,1.556,-0.75,0.75,0.38,0.546,0.296
0.5,1.11,1,0.841,1.386,0.05,-0.37,-0.59,-0.646,-0.437
0.75,1.729,1.298,1.472,1.229,-1.77,0.38,-0.08,0.106,-0.059
0,1.62,1.758,1.752,2.229,-0.51,0.27,0.63,0.692,1.604
-0.25,1.156,1.322,1.089,1.091,-0.64,-0.67,0.53,-0.343,0.372
1.25,1.829,0.734,1.946,0.834,0.61,0.93,-0.61,1.044,-0.677
0.5,1.253,0.951,1.254,0.742,2.08,0.4,-0.19,0.384,-0.275
-1,0.66,2.35,0.802,1.708,0.7,-0.34,1.55,0.119,0.548
0.25,1.781,1.684,1.523,1.474,0.04,0.67,0.14,0.582,-0.074
0.5,2.363,2.295,2.365,1.862,0.4,1.53,1.06,1.627,0.575
0.75,1.974,1.387,2.019,1.058,1.87,0.77,0.15,0.886,-0.29
-1,1.151,1.853,1.361,1.614,-0.94,-0.32,1.05,-0.215,0.333
0.25,1.54,1.107,1.19,1.108,1.99,0.49,-0.37,-0.258,-0.122
-0.75,2.363,2.376,1.913,2.145,-0.23,1.54,1.54,0.968,1.299
1.5,1.782,0.647,1.656,0.822,0.6,0.62,-0.36,0.76,-0.141
-0.5,0.872,1.587,1.068,1.284,-0.94,-0.27,0.3,-0.05,-0.404
0,0.599,1.409,1.47,0.864,1.09,-0.82,0.49,0.252,-0.446
-0.25,1.235,1.894,1.065,1.694,-2.35,0.32,0.58,0.334,0.396
1,2.309,1.886,2.699,1.585,2.66,1.2,0.72,1.454,0.39
0,1,1.192,0.925,1.041,-0.99,-0.58,-0.52,-0.506,-0.746
0.25,1.602,1.754,1.667,1.59,0.75,0.07,0.42,0.546,0.267
0.25,1.048,1.088,1.127,1.084,0.42,-0.61,-0.44,-0.236,-0.258
-1,1.145,2.156,0.764,1.765,-3,-0.34,1.01,-0.713,0.403
2,2.278,1.121,2.258,1.379,3,1.04,-0.51,1.554,-0.428
0.5,1.696,1.21,1.677,1.049,0.45,0.36,0.23,0.558,0.184
0,0.614,0.546,0.725,0.777,0.36,-0.42,-0.86,-0.024,-0.844
-0.5,1.779,1.963,1.623,2.269,-0.26,0.49,0.81,0.265,1.531
0.25,2.071,2.503,2.088,1.814,1.75,1.29,1.84,1.284,0.598
0.5,1.974,1.51,1.979,1.324,1.01,0.77,-0.01,0.736,-0.173
1,1.883,0.794,1.673,0.707,0.45,0.59,-0.34,0.791,-0.33
0.25,1.561,1.469,1.409,1.217,1.08,0.63,0.42,0.476,-0.064
-0.5,1.098,1.541,1.087,1.318,-0.13,-0.6,0.25,-0.355,-0.376
2.5,2.325,0.899,2.297,0.813,3,1.32,-0.3,1.728,-0.283
-0.5,1.711,2.022,1.562,2.307,0.42,0.75,0.74,0.567,1.529
1,2.188,1.306,2.01,1.149,1.74,1.57,0.25,1.194,0.221
0,0.762,0.907,0.871,0.98,-1.44,-0.35,-0.76,0.037,-0.791
-0.5,0.535,1.65,1.321,1.415,-2.42,-0.79,0.31,0.066,0.086
0.5,2.297,2.018,2.135,1.718,1.38,1.57,0.87,1.344,0.549
1.25,2.325,1.54,2.618,1.43,1.15,1.09,0.01,1.317,-0.109
0,1.142,1.744,0.808,1.618,-1.01,-0.33,0.46,-0.619,0.326
1,1.476,0.941,1.119,1.009,0.68,0.5,-0.48,-0.265,-0.373
0.25,1.28,1.556,1.044,1.027,1.94,0.16,0.58,0.247,-0.256
0.25,1.388,1.439,1.694,1.153,1.01,-0.27,0.39,0.575,-0.123
0.25,1.247,0.747,1.213,0.745,0.37,-0.24,-0.56,-0.371,-0.218
-0.5,1.857,2.406,1.747,1.996,0.18,0.63,1.26,0.719,0.885
-0.5,1.45,2.238,1.643,2.002,0.36,0.21,1.58,0.567,0.82
0.75,1.769,0.525,1.47,0.721,0.7,0.39,-0.71,0.159,-0.887
-0.75,0.948,2.56,1.105,1.842,-1.27,-0.58,1.81,-0.271,0.613
-1.5,0.821,2.25,1.047,1.593,-3,-0.45,1.12,-0.089,0.308
1,1.94,1.016,2.117,1.351,2.62,0.79,-0.63,1.025,-0.68
0.5,1.858,1.119,1.696,1.267,2.3,0.54,-0.26,0.782,-0.019
-0.75,1.36,2.193,1.54,1.865,-1.35,-0.24,1.64,0.464,0.712
2.75,2.261,0.672,2.481,0.71,3,1.18,-0.67,1.883,-0.274
0.75,1.194,1.282,0.962,1.242,-0.66,0.04,-0.3,0.142,-0.093
0.25,2.001,1.602,1.843,1.352,-0.29,0.83,0.3,0.987,-0.328
0.25,1.869,1.914,2.075,1.766,1.38,0.72,0.64,0.984,0.42
0,0.844,0.977,1.026,1.241,0.76,-0.44,-0.48,-0.108,-0.119
0.25,1.665,0.99,1.53,1.141,-0.15,0.63,-0.41,0.516,-0.454
0.75,2.233,2.424,2.626,1.825,2.71,1.1,1.73,1.451,0.601
0.75,1.551,1.056,1.166,1.504,0.99,0.44,-0.59,-0.193,-0.486
-1,0.514,1.831,1.254,2.227,-1.85,-0.84,0.61,0.004,1.429
-1,1.03,2.248,1.143,1.589,-3,-0.36,1.1,-0.185,0.301
-1.25,1.815,2.276,1.501,2.016,-1.87,0.55,1.27,0.296,0.947
0.25,1.71,1.772,1.671,1.773,-1.26,0.42,0.58,0.535,0.611
0,1.216,0.827,1.249,0.777,-0.27,-0.47,-0.47,-0.344,-0.398
0.75,1.017,0.383,0.752,0.586,-0.74,-0.39,-0.97,-0.667,-1.09
0.5,2.255,1.961,2.205,1.447,1.05,1.51,0.78,1.433,0.105
0.75,1.975,1.331,1.773,1.065,1.35,0.71,0.22,0.785,0.076
-0.5,0.658,1.58,0.854,1.31,1.29,-0.7,0.47,-0.164,-0.02
-0.25,1.055,1.514,1.125,1.361,0.69,-0.58,-0.14,-0.228,-0.348
1.25,2.029,1.692,2.027,1.067,-0.72,1.47,0.65,1.147,-0.231
-0.25,1.982,2.122,1.686,2.324,-2.38,0.76,1,0.726,1.432
-0.25,0.851,1.658,1.005,1.751,-1.98,-0.46,0.44,-0.126,0.412
0.5,1.729,1.009,1.107,1.057,0.65,0.72,-0.54,-0.349,-0.525
-0.5,1.487,2.169,1.837,1.788,-0.23,0.25,1.7,0.69,0.637
2.5,2.293,1.227,2.492,1.161,1.69,1.31,-0.26,1.878,-0.196
-0.75,0.396,1.779,1.229,1.506,-0.84,-0.95,0.48,0.025,-0.081
0.75,1.244,1.094,1.104,1.414,-0.69,-0.07,-0.55,0.32,-0.597
0.25,1.538,1.057,1.56,1.277,-0.85,0.3,-0.18,0.546,-0.076
2.25,2.263,0.585,2.634,0.696,0.92,1.3,-0.9,1.322,-0.289
-0.25,1.363,2.129,1.657,1.745,-0.23,-0.32,1.33,0.514,0.574
-0.5,0.989,1.882,1.12,1.478,0.79,-0.66,0.66,-0.442,0.102
1,2.029,1.875,2.167,1.465,3,1.38,1.01,1.385,0.241
-0.5,0.613,1.339,0.817,0.984,0.53,-0.89,-0.1,-0.342,-0.206
0.25,1.032,0.267,1.163,0.514,0.94,-0.6,-1.03,-0.203,-1.108
0.5,1.645,1.446,1.471,1.045,-2.12,0.43,0.21,0.27,-0.327
-0.25,1.056,1.638,0.797,1.737,1.46,-0.18,0.45,-0.613,0.579
1,2.019,1.356,1.878,1.214,0.16,0.94,-0.31,1.01,-0.441
-1.5,1.202,2.181,1.284,1.618,-2.42,-0.3,1.11,-0.297,0.516
1.25,2.152,0.865,2.304,0.793,2.12,1.31,-0.47,1.567,-0.276
-1.25,1.391,2.712,1.2,2.424,-2.42,-0.01,2.11,0.07,1.672
0.5,1.803,1.438,1.71,0.964,0.84,0.49,0.21,0.477,-0.36
0.75,2.063,1.777,1.9,1.495,1.53,0.88,0.91,0.929,0.357
0.5,2.114,1.433,2.064,1.145,1.23,1.31,0.18,1.252,0.119
0.25,1.03,0.142,1.037,0.504,-1.06,-0.57,-1.19,-0.473,-1.066
0,0.995,1.208,0.661,1.189,1.92,-0.23,-0.44,-0.741,-0.452
-0.75,0.581,1.753,0.8,1.762,-0.35,-1.17,0.5,-0.616,0.547
-0.75,1.198,1.905,1.318,1.508,-0.47,-0.29,0.72,-0.17,0.141
-0.25,2.009,2.427,2.063,1.983,-0.26,1.36,1.52,1.317,1.021
-0.75,1.632,2.078,1.462,1.525,-3,0.42,1.01,0.265,0.465
0,1.397,0.893,1.08,1.027,1.1,-0.08,-0.32,-0.413,-0.074
0,0.28,1.078,1.084,1.084,-2.32,-1.09,-0.34,-0.116,-0.306
0,1.219,1.66,1.756,1.616,0.42,-0.35,0.45,0.582,-0.019
2,2.491,0.944,2.476,1.175,3,1.65,-0.18,1.866,-0.113
1,1.791,1.166,1.829,0.976,0.92,0.72,-0.32,0.62,-0.689
1,1.713,0.755,1.579,0.806,0.28,0.34,-1.13,0.427,-0.243
-0.25,2.172,2.023,1.819,1.738,0.55,1.08,1.25,0.858,0.514
-1,0.87,1.947,0.928,2.272,-2.32,-0.39,0.63,-0.193,1.175
2,2.086,0.982,2.433,1.237,2.33,1.23,-0.65,1.198,-0.535
0.25,1.243,1.164,1.29,1.315,-0.94,-0.26,-0.22,0.394,-0.228
-0.25,1.282,1.746,1.206,1.389,-2.12,0,0.95,-0.054,0.325
1,1.195,0.586,1.681,0.659,-0.75,-0.35,-1.34,0.511,-0.309
0.5,1.257,0.829,1.242,1.151,-1.87,-0.21,-0.37,0.373,-0.13
0.5,1.663,1.035,1.468,1.386,-1.44,0.39,-0.6,0.374,-0.444
-1.25,0.888,1.921,1.045,1.712,-2.42,-0.46,1.22,-0.103,0.504
0.5,2.032,1.74,1.672,1.776,0.23,0.94,0.47,0.712,0.444
-1,0.455,2.024,1.202,1.839,0.45,-0.93,1.14,-0.054,0.832
0.5,2.108,2.085,2.545,2.29,1.43,1.25,0.91,1.263,1.199
2.25,2.465,1.162,2.487,0.977,1.34,1.58,-0.31,1.688,-0.676
1.25,1.671,0.96,1.733,1.03,1.75,0.65,-0.43,0.567,-0.36
0,1.096,1.314,1.161,2.088,0.75,-0.36,-0.12,-0.111,0.443
-0.25,0.826,1.171,1.195,1.02,0.29,-0.75,-0.35,-0.323,-0.227
-0.25,1.019,1.87,1.157,1.151,1.08,-0.59,0.49,-0.344,-0.264
-2,0.643,2.502,0.724,2.138,-2.24,-1.27,1.74,-0.884,1.286
-0.25,1.69,1.637,1.625,1.654,0.37,0.35,0.65,0.388,0.601
1,1.996,1.174,2.013,1.346,0.62,1.18,-0.4,1.336,-0.315
-0.25,1.168,1.53,1.219,1.318,0.61,-0.41,0.54,-0.141,0.156
0.5,0.903,0.741,0.799,0.817,0.2,-0.43,-0.57,-0.632,-0.271
1.5,2.191,0.549,1.718,0.588,2.66,0.8,-0.89,0.374,-1.015
-0.25,1.7,2.145,1.527,1.746,0.76,0.42,1.07,0.457,0.476
-0.25,2.147,1.729,2.286,1.577,-3,1.37,0.98,1.535,0.706
1,1.63,0.769,1.436,0.989,0.23,0.32,-0.8,0.368,-0.445
-0.25,0.63,0.69,0.689,0.841,-0.34,-1.42,-0.62,-1.167,-0.265
2,2.476,0.719,2.507,0.661,1.74,1.85,-0.77,1.619,-0.999
0,0.966,1.21,1.013,1.258,-1.43,-0.64,-0.31,-0.437,-0.349
-0.25,1.664,2.027,1.878,2.286,1.44,0.72,0.64,0.785,1.091
0,1.656,1.379,1.56,1.26,2.69,0.29,0.43,0.26,0.093
1.25,1.86,1.325,1.912,1.51,2.68,0.95,-0.3,1.269,-0.151
0.5,2.018,1.328,1.867,1.18,1.49,1,-0.24,0.929,-0.13
-0.75,1.893,1.719,1.838,1.686,-2.35,0.38,0.98,0.773,0.812
-0.25,0.945,1.984,0.803,2.087,-1.4,-0.38,1.18,-0.619,1.295
-0.25,1.186,1.546,1.502,1.802,0.4,-0.2,0.56,0.247,0.75
0.5,0.705,0.646,1.084,0.694,-0.73,-0.77,-1.39,-0.193,-0.331
0,0.902,1.007,1.051,0.917,0.35,-0.66,-0.64,-0.417,-0.903
1,1.926,1.623,1.643,1.62,1.7,0.59,0.35,0.306,0.234
-1.75,1.299,2.567,1.254,2.276,-3,-0.32,1.87,-0.118,1.601
-0.5,0.737,1.857,0.772,1.771,0.61,-0.49,0.74,-0.429,0.506
0,1.45,1.477,1.217,1.644,0.88,-0.11,0.15,0.346,0.001
0.25,1.436,1.855,1.278,1.308,-1.02,0.39,0.35,0.062,-0.158
1.5,1.744,1.107,2.264,1.309,2.62,1.04,-0.22,1.074,-0.027
-0.25,1.8,1.883,2.2,1.607,-1.53,1,0.93,1.384,0.351
0.25,1.286,1.515,1.131,1.669,-0.79,0.14,0.61,-0.1,0.61
-0.25,0.764,1.47,0.998,1.467,1.56,-0.79,0,-0.469,-0.152
-0.25,1.273,1.265,1.229,1.463,0.92,-0.35,-0.07,-0.204,0.114
-0.25,0.722,1.878,0.757,1.463,-2.12,-0.5,0.34,-0.48,0.086
1,1.911,1.532,1.791,1.791,1.41,0.72,0.11,0.665,0.102
1.25,1.643,0.593,2.036,0.68,0.99,0.88,-1.42,1.216,-0.364
-0.25,1.222,1.856,1.532,1.876,-0.02,-0.18,0.65,0.182,0.617
-0.25,1.553,2.696,2.062,2.315,0.01,0.7,2.03,0.94,1.625
-1,0.871,1.869,1.243,1.755,-0.81,-0.66,0.81,-0.089,0.445
0.75,1.301,1.167,1.133,1.039,0.31,-0.21,-0.53,0.259,-0.825
-0.25,1.868,1.481,1.779,1.832,-2.35,0.76,0.5,0.665,1.077
0.25,1.144,1.242,1.173,1.359,0.79,-0.48,-0.39,-0.336,-0.349
1.5,2.637,1.54,2.517,1.949,-0.42,1.97,0.69,1.607,1.203
0,1.194,1.441,0.927,1.375,0.05,-0.12,0.23,-0.547,0.151
0.25,1.398,1.075,1.529,1.193,0.42,-0.04,-0.31,0.235,-0.402
-1.5,0.581,1.825,0.676,2.18,-0.4,-1.44,0.76,-1.184,0.949
0.5,1.445,1.335,1.781,1.337,2.31,0.54,-0.13,0.729,0.013
0.75,1.42,0.768,1.348,0.864,1.05,0.03,-0.45,0.235,-0.26
0.5,1.831,0.942,1.761,0.527,0.34,0.33,-0.6,0.638,-1.079
1.75,1.878,0.929,1.934,1.053,1.05,0.69,-0.59,1.243,-0.348
0,1.113,1.268,1.371,1.31,1.2,-0.32,-0.25,0.038,-0.068
-0.75,1.249,1.864,1.378,1.889,-0.52,-0.18,0.74,0.09,0.615
0.5,1.39,0.589,1.078,0.606,0.06,-0.08,-1.41,-0.405,-0.517
1,1.539,1.363,1.901,1.816,1.96,0.51,-0.09,0.58,0.132
0.25,0.935,0.923,0.741,0.484,2.02,-0.27,-0.73,-0.491,-1.238
0,1.975,1.608,1.786,1.826,-1.27,0.54,0.7,0.725,1.027
-0.25,1.352,1.995,1.193,1.893,0.39,0.02,0.89,-0.07,0.632
-1,1.495,2.718,1.805,2.435,-1.98,0.53,2.11,0.674,1.598
1.5,1.91,0.87,1.643,0.912,1.1,0.99,-0.7,0.591,-0.502
0.5,1.231,1.081,0.969,1.018,0.33,-0.07,-0.65,-0.495,-0.848
1.5,2.828,1.996,2.647,1.512,2.62,2.09,0.55,1.82,0.201
-0.5,0.597,1.166,0.722,1.385,0.72,-1.38,-0.13,-1.14,0.061
0,1.278,1.204,1.385,1.407,1.07,-0.19,-0.08,0.546,0.189
-0.25,0.732,1.271,1.118,1.35,-0.23,-0.85,-0.21,-0.4,-0.285
0,1.973,1.511,1.765,1.579,0.71,0.77,0.46,0.523,0.534
0,1.119,0.976,1.11,1.007,1.43,-0.62,-0.29,-0.51,-0.093
1,1.499,1.301,2.11,1.392,1.67,0.73,-0.12,1.495,-0.201
0.25,1.888,1.923,1.956,2.131,-0.59,0.58,1.03,1.299,1.041
-1.25,0.904,1.468,1.18,1.876,-1.95,-0.65,0.38,-0.136,1.034
0.25,1.517,1.02,1.136,1.289,0.23,0.11,-0.48,-0.052,-0.243
-0.75,1.27,1.516,0.996,1.696,-1.15,-0.16,0.48,-0.428,0.644
-0.25,1.049,0.96,1.196,1.263,-0.52,-0.61,-0.53,-0.195,-0.267
0.25,1.334,1.12,1.169,1.189,0.03,0.08,-0.43,-0.088,-0.494
0,1.022,1.693,0.829,2.055,-1.74,-0.23,0.41,-0.586,0.904
0,0.751,0.778,0.85,0.773,-0.46,-1.21,-0.75,-1.065,-0.733
1.5,1.313,0.996,1.667,0.986,2.62,0.21,-0.26,0.3,-0.111
1,2.914,1.752,2.625,2.069,-0.23,2.21,0.77,1.738,0.95
1,1.757,1.074,2.128,1.058,1.34,1.04,-0.63,1.586,-0.811
1,1.882,1.696,1.856,1.941,-0.73,0.54,0.23,1.192,0.265
0.5,1.835,1.252,1.931,1.264,0.15,0.44,-0.13,0.851,-0.126
-0.5,0.822,1.247,1.116,1.529,-0.11,-0.65,-0.04,-0.392,0.419
-0.75,1.227,2.025,1.297,2.153,-1.48,-0.13,0.69,0.455,0.89
0.25,1.052,0.796,1.185,0.594,2.68,-0.76,-1.14,-0.371,-0.527
0.5,1.622,1.184,1.254,1.324,0.73,0.1,-0.19,0.01,-0.438
-1.5,1.037,2.764,0.83,2.536,-3,-0.23,2.01,-0.472,1.575
0,0.978,0.961,1.41,1.317,2.33,-0.57,-0.29,0.128,0
1,1.839,1.028,1.609,0.434,3,0.54,-0.67,0.312,-1.273
0.25,1.692,1.985,1.79,1.695,-0.8,0.64,1.33,0.62,0.797
0.75,1.772,1.859,1.817,1.481,0.43,0.82,0.51,0.951,0.177
-0.75,1.158,1.404,1.524,1.899,-2.08,-0.26,0.3,0.178,1.054
1.75,2.912,1.266,2.654,1.262,0.29,2.11,-0.21,1.643,-0.32
-0.25,0.886,1.361,1.036,1.56,0.31,-0.72,0.1,-0.294,0.325
-0.75,1.275,1.789,0.996,2.036,-0.43,-0.16,0.54,-0.437,0.8
-1,1.157,1.825,1.148,2.149,-0.23,-0.52,0.85,-0.419,1.068
-0.5,0.766,1.546,0.888,1.92,-0.73,-1.21,0.13,-1.025,0.25
0.25,1.463,1.79,1.742,2.013,1.67,0.44,0.49,0.367,0.686
0,1.016,1.223,0.753,1.179,0.19,-0.33,-0.13,-0.663,-0.264
0.75,1.123,0.746,0.812,0.818,1.69,-0.18,-0.72,-0.514,-0.517
0,1.821,1.802,1.952,1.69,-2.03,0.52,0.74,0.914,0.58
0.75,1.555,0.965,2.317,1.138,0.81,0.58,-0.67,1.725,-0.503
1.75,2.22,0.659,2.198,0.522,2.33,0.9,-1.22,1.436,-0.637
1,1.258,0.987,1.271,0.417,-0.85,-0.1,-0.88,0.406,-1.375
-1,1.93,2.842,1.746,2.677,-0.36,0.83,2.08,0.689,1.786
-0.25,1.705,1.436,1.658,1.921,0.02,0.64,0.31,0.503,1.013
0.5,0.926,1.301,1.382,1.478,-0.02,-0.58,-0.13,0.146,-0.168
-0.75,0.61,1.796,1.033,1.542,-1.22,-0.93,0.99,-0.504,0.487
0.25,1.256,0.955,1.142,1.127,-0.94,-0.08,-0.38,-0.174,-0.049
1,1.841,1.281,1.921,1.431,2.12,0.79,0.12,0.992,0.06
0.75,1.319,1.212,1.108,0.916,2.34,-0.18,-0.61,-0.164,-1.056
0,1.135,1.725,1.373,1.452,0.99,-0.27,0.47,-0.006,0.194
0,0.896,0.992,0.678,1.105,-1.35,-0.5,-0.37,-0.75,-0.564
1.75,2.903,1.413,2.846,1.275,0.4,1.99,0.04,2.04,-0.279
1,1.398,1.291,1.685,1.518,0.95,0.12,0,0.307,0.411
-1.25,1.127,2.327,1.221,2.203,-3,-0.76,0.93,-0.343,0.932
0.25,1.154,0.658,0.996,0.801,-0.68,-0.23,-0.79,-0.419,-0.647
0,1.83,1.851,1.973,2.074,0.27,0.52,0.7,0.936,0.826
-0.25,1.723,2.003,2.397,2.022,-0.27,0.81,0.92,1.883,0.809
-1,0.927,1.471,1.051,1.716,-1.35,-0.92,0.24,-0.392,0.649
-0.25,0.827,1.088,0.833,1.268,-2.12,-0.85,-0.47,-1.084,-0.289
0.25,1.215,1.232,0.976,1.902,-1.01,0.06,-0.22,-0.243,0.179
-0.25,1.268,1.649,1.025,1.427,0.09,-0.15,0.67,-0.281,0.381
-0.5,0.785,1.974,1.033,1.563,0.84,-0.71,0.69,-0.494,0.25
0.75,1.152,0.909,1.225,0.369,0.66,-0.26,-1.05,-0.146,-1.408
0.75,1.735,0.838,1.546,1.084,3,0.7,-0.55,0.307,-0.168
1.25,2.103,1.131,2.084,1.328,1.6,1.08,-0.24,0.941,-0.265
-0.75,1.566,1.558,1.366,1.927,-2.35,0.14,0.22,0.398,1.036
0.75,2.297,1.211,2.006,1.282,2.3,0.93,0.06,0.996,-0.042
-1.5,1.225,2.631,1.299,2.654,-3,-0.06,1.5,-0.01,1.716
1,1.707,0.991,1.821,0.672,1.46,0.49,-0.62,0.776,-0.444
0.25,0.755,1.144,1.406,1.101,0.33,-0.84,-0.6,0.159,-0.58
-0.5,1.017,1.609,0.847,1.693,-2.24,-0.24,0.96,-0.461,0.85
1.75,2.759,1.121,2.572,1.418,1.93,1.95,-0.36,1.687,-0.061
0.5,1.64,1.182,1.431,1.925,0.55,0.56,-0.18,0.156,0.336
1.75,1.491,0.95,1.635,0.926,2.62,0.12,-0.61,0.234,-0.574
-0.75,1.895,2.215,1.994,2.308,0.29,0.62,0.85,0.897,1.094
-0.75,0.891,1.206,0.91,1.276,1.39,-1.04,0.06,-0.605,-0.041
0.5,1.27,0.988,1.236,1.181,-0.1,-0.19,-0.4,-0.132,-0.42
-0.5,1.474,2.242,1.379,2.162,-0.83,0.02,1.22,0.39,0.965
0.75,1.08,0.931,1.273,0.658,0.35,-0.24,-0.79,-0.03,-0.595
1,1.733,1.064,1.965,0.958,-0.15,0.58,-0.92,0.981,-0.874
-0.5,0.825,1.759,1.415,1.912,-0.47,-0.76,0.55,0.163,0.628
-1.5,1.003,2.672,1.076,2.755,-0.78,-0.96,1.36,-0.557,1.734
0.25,1.182,1.505,1.017,1.43,1.93,0.04,0.18,-0.037,-0.173
1,2.223,0.841,1.869,1.063,3,0.8,-0.53,0.819,-0.205
0.25,1.339,0.998,0.968,1.488,0.62,-0.08,-0.35,-0.372,0.423
-0.75,0.991,1.455,1.192,1.825,-2.28,-0.51,0.36,-0.36,0.986
1.25,1.576,1.053,2.306,0.361,0.39,0.55,-0.88,1.51,-1.36
-0.25,0.972,1.244,0.937,1.143,1.72,-0.65,-0.39,-0.922,-0.533
-0.25,1.117,1.817,0.976,1.411,0.94,-0.15,0.55,-0.431,0.024
-0.5,2.202,1.632,2.078,1.909,0.11,1.17,0.27,1.136,1.016
1,1.687,0.931,1.962,0.847,1.75,0.47,-0.62,0.877,-0.643
-0.25,1.354,1.725,1.351,1.271,-1.28,0.01,0.82,0.282,0.278
0,0.936,0.983,0.952,0.939,0.02,-1.14,-0.86,-0.653,-0.796
0.75,2.763,2.308,2.711,2.275,0.54,1.4,0.96,1.812,0.901
1.5,1.481,0.869,1.63,0.995,1.87,0.11,-0.66,0.229,-0.633
0,1.239,1.299,1.211,1.13,-0.2,-0.38,0.16,-0.321,-0.14
-0.75,1.119,2.183,1.308,1.897,-1.28,-0.29,1.16,0.092,0.736
0.25,1.84,1.28,1.914,1.946,-0.31,0.56,-0.14,0.819,0.349
1,1.607,0.973,1.304,0.645,1.67,0.5,-0.64,0.07,-0.644
0.5,0.792,1.094,0.604,1.298,-1.27,-0.64,-0.17,-0.835,-0.171
0.25,2.288,1.613,2.121,1.813,1.51,1.26,0.34,1.114,0.576
0.75,2.346,1.755,2.049,1.849,-0.42,0.97,0.66,0.943,1.047
-1.5,1.093,2.587,1.128,2.84,-1.43,-0.45,1.23,-0.473,1.82
-0.25,1.253,1.387,0.925,1.341,1.18,0,-0.07,-0.483,-0.33
0,1.241,1.707,1.137,1.523,1.6,0.09,0.45,0.084,0.084
-0.25,1.081,1.134,1.055,1.598,-0.47,-0.71,-0.26,-0.626,0.475
1,1.691,1.299,2.4,1.18,0.28,0.73,-0.35,1.721,-0.482
-1.75,0.953,1.78,0.958,1.894,0.14,-0.54,0.42,-0.903,1.063
1.25,1.252,0.797,0.828,0.354,1.67,-0.21,-1.28,-0.505,-1.493
1.25,2.013,0.722,1.997,0.905,2.68,0.84,-0.82,0.993,-0.467
0,0.988,1.54,1.59,1.435,-0.08,-0.52,0.29,0.377,-0.103
-1,1.276,2.595,1.174,2.844,-3,0.13,1.22,0.163,1.803
0.75,2.095,1.75,1.887,1.813,-0.13,0.74,0.43,0.783,0.576
0.5,1.187,1.273,0.772,1.116,0.35,-0.27,-0.42,-0.555,-0.593
1,1.717,1.112,2.388,1.526,3,0.75,-0.23,1.662,0.405
0.75,1.039,0.961,1.106,0.495,1.54,-0.5,-1.11,-0.443,-1.403
-1,1.119,1.78,1.214,1.952,0.74,-0.72,0.62,-0.513,1.086
-0.75,0.934,1.613,0.919,1.553,0.21,-0.43,0.4,-0.945,0.123
