hg,z20,k20,zz20,kk20,jz,z20js,k20js,zc20js,kc20js
0.5,0.837,1.122,1.302,0.894,-0.64,-0.95,-0.05,-0.407,-0.56
-0.75,1.035,1.815,1.351,1.889,0.64,-0.24,0.82,-0.019,0.665
0.25,1.309,1.08,1.343,0.976,0.58,-0.02,-0.36,0.151,-0.056
0.25,0.875,0.976,0.886,1.064,-0.76,-0.06,-0.51,0.095,-0.591
1,1.951,1.082,1.926,0.887,1.33,0.87,0.03,0.868,-0.044
0.25,1.889,1.865,2.245,1.531,-1.17,1.07,0.51,1.594,0.061
-0.5,1.23,1.722,1.275,1.793,-2.1,-0.38,0.67,-0.178,0.599
0.5,1.501,1.283,2.116,1.007,-0.18,-0.04,-0.04,0.927,-0.463
-0.5,1,1.352,1.168,1.379,-1.13,-0.11,0.1,0.487,0.096
1.5,2.39,0.857,2.055,0.909,1.12,1.74,-0.1,1.232,0.084
0.25,1.093,1.137,1.145,1.224,1.29,-0.35,-0.4,-0.421,-0.479
0,1.069,0.88,0.97,0.99,-0.57,-0.38,-0.85,0.056,-0.657
0.5,1.199,1.059,1.664,0.876,2.03,-0.29,-0.17,0.19,-0.628
1.5,1.871,0.954,2.26,0.907,1.62,1.04,-0.27,1.594,-0.37
1.25,1.943,1.89,2.227,1.26,1.57,0.78,0.84,1.461,-0.087
0.25,1.599,1.828,1.676,1.44,1.65,0.39,0.58,0.719,0.02
-1.5,0.938,2.341,1.249,1.769,-1.6,-0.27,1.61,0.042,0.777
-1.25,0.895,1.874,1.264,1.432,-3,-0.33,0.79,-0.059,0.255
1.75,1.765,1.1,2.233,0.849,0.77,0.34,-0.07,1.091,-0.163
0.75,1.078,1.092,1.262,1.135,-0.6,-0.43,-0.46,0.103,-0.172
1,1.475,1.531,1.704,1.281,0.39,0.32,-0.08,0.833,-0.399
0,0.9,1.145,0.808,1.362,-0.06,-0.06,-0.46,0.013,-0.29
-0.75,1.217,2.118,1.276,1.499,0.6,-0.16,1.24,0.087,0.392
0.75,1.325,1.433,1.458,1.096,0.88,0.08,-0.14,0.466,0.005
-0.25,1.901,1.712,2.171,1.476,-0.6,0.86,0.72,1.2,0.377
0.5,1.003,1.011,1.336,0.894,1,-0.71,-0.39,-0.319,-0.447
0.25,1.284,1.163,1.705,1.151,-0.96,-0.34,-0.53,0.178,-0.443
1.75,2.171,1.003,2.275,0.891,-0.03,1.2,0.04,1.442,0.042
0.75,1.002,0.879,1.31,0.721,0.73,-0.61,-0.45,-0.134,-0.593
-0.25,1.078,1.072,1.305,0.947,-0.65,-0.11,-0.32,0.537,-0.574
1,1.738,1.439,1.703,1.255,0.49,0.7,0.19,0.865,-0.03
0.5,2.5,1.396,2.083,1.566,0.98,1.72,0.23,1.257,0.384
-0.75,1.009,1.884,0.89,1.175,-3,-0.53,0.7,-0.126,-0.125
1.5,2.112,1.237,2.42,1.139,1.93,1.19,-0.32,1.638,-0.509
-1,0.991,1.636,1.182,1.248,0.94,-0.46,0.26,-0.373,-0.352
0.5,1.448,0.756,2.214,0.849,-0.29,-0.16,-0.6,1.029,-0.423
0,1.664,2.47,2.128,1.837,0.32,0.29,1.69,0.948,0.768
-0.25,1.726,2.13,2.262,1.65,-1.19,0.55,1.39,1.187,0.585
0,1.212,1.378,1.417,1.249,-1.4,-0.45,-0.22,0.201,-0.382
0.25,1.042,1.15,1.103,1.052,-1.37,-0.3,-0.46,-0.26,-0.249
1,1.37,0.851,1.61,0.876,-0.08,-0.11,-0.61,0.618,-0.518
